GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
foodvendors,com.example.foodvendors.controllers,VendorController,0,27,0,0,0,8,0,3,0,3
foodvendors,com.example.foodvendors.controllers,OfferController,4,32,1,1,0,11,1,3,0,3
foodvendors,com.example.foodvendors.batch,VendorWriter,0,13,0,0,0,3,0,2,0,2
foodvendors,com.example.foodvendors.batch,OfferWriter,10,3,0,0,2,1,1,1,1,1
foodvendors,com.example.foodvendors.batch,OfferReader,0,55,0,0,0,11,0,1,0,1
foodvendors,com.example.foodvendors.batch,VendorBatch,0,36,0,0,0,12,0,2,0,2
foodvendors,com.example.foodvendors.batch,OfferProcessor,24,24,3,1,6,6,2,3,0,3
foodvendors,com.example.foodvendors.batch,VendorProcessor,0,36,0,2,0,9,0,4,0,3
foodvendors,com.example.foodvendors.batch,VendorReader,0,47,0,0,0,11,0,1,0,1
foodvendors,com.example.foodvendors.batch,OfferBatch,0,36,0,0,0,12,0,2,0,2
foodvendors,com.example.foodvendors,FoodvendorsApplication,5,25,0,0,2,5,1,3,1,3
foodvendors,com.example.foodvendors.dtos,OfferEntityDTOConverter,23,31,1,1,4,8,2,4,1,4
foodvendors,com.example.foodvendors.dtos,VendorEntityDTOConverter,9,30,0,0,1,8,1,4,1,4
foodvendors,com.example.foodvendors.services,VendorService,0,27,0,0,0,5,0,5,0,5
foodvendors,com.example.foodvendors.services,OfferService,9,18,0,0,1,4,1,4,1,4
